Reference," Quantity"," Value"," Footprint"," Digi-Key Part Number"
"C1 C2 ",2,10uF,C_1210,490-14536-1-ND
"C12 C9 C8 C10 C11 C5 ",6,.1uF,C_0603,1276-1000-1-ND
"C4 C3 ",2,18pF,C_0603,1276-2208-1-ND
"C7 ",1,1uF,C_0603,490-12297-1-ND
"D1 ",1,PWR_LED,LED_0805,475-1410-1-ND
"D2 ",1,D13_LED,LED_0805,475-1410-1-ND
"IC1 ",1,ATMEGA328P-AU,TQFP-32_7x7mm_P0.8mm,ATMEGA328P-AU-ND
"J1 ",1,AVR-ISP-6,PinHeader_2x03_P2.54mm,N/A
"J2 ",1,RJ45,Molex 855025008 RJ45,WM3547CT-ND
"R1 R5 R7 R6 ",4,10K,R_0603,A130097CT-ND
"R3 R2 ",2,1K,R_0603,"A130091CT-ND "
"R4 ",1,1M,R_0603,"A130109CT-ND "
"U1 ",1,LM7805_TO220,TO-220-3_Vertical,296-47192-ND
"U2 ",1,FTDI,PinHeader_1x06_P1.27mm,N/A
"U3 ",1,LS7366R,TSSOP-14_4.4x5mm_P0.65mm,N/A
"U4 ",1,MCP2515-xST,TSSOP-20_4.4x6.5mm_P0.65mm,MCP2515T-I/ST
"U5 ",1,AS5047P,TSSOP-14_4.4x5mm_P0.65mm,AS5047P-ATSMCT-ND
"U6 ",1,TJA1050,SOIC-8_3.9x4.9mm_P1.27mm,568-10292-1-ND
"Y1 ",1,16MHz,muRata_CSTxExxV-3Pin_3.0x1.1mm,490-17948-1-ND
"Y2 ",1,40MHz,Abracon_ABM3-2Pin_5.0x3.2mm,535-9114-1-ND
"Y3 ",1,20MHz,muRata_CSTxExxV-3Pin_3.0x1.1mm,490-17957-1-ND
